Mon Sep  2 18:04:27 2024    profiler_stats.prof

         4895102 function calls (4595255 primitive calls) in 5.436 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      152    0.001    0.000    0.045    0.000 ir_print.py:11(match)
       18    0.000    0.000    0.045    0.002 ir.py:611(infer_constant)
      284    0.001    0.000    0.044    0.000 postproc.py:46(livemap)
       35    0.001    0.000    0.044    0.001 inline_closurecall.py:88(run)
       27    0.000    0.000    0.043    0.002 codegen.py:1412(_add_module)
      284    0.001    0.000    0.043    0.000 analysis.py:60(compute_live_map)
       27    0.000    0.000    0.043    0.002 codegen.py:1094(add_module)
        1    0.000    0.000    0.043    0.043 setobj.py:835(upsize)
23937/23772    0.015    0.000    0.043    0.000 {method 'join' of 'str' objects}
78806/77158    0.017    0.000    0.042    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.042    0.042 setobj.py:941(_resize)
      568    0.001    0.000    0.042    0.000 analysis.py:71(fix_point)
       47    0.000    0.000    0.041    0.001 pprint.py:473(_pprint_default_dict)
       27    0.001    0.000    0.041    0.002 codegen.py:1087(_load_defined_symbols)
     1634    0.002    0.000    0.040    0.000 value.py:157(name)
    12444    0.007    0.000    0.040    0.000 values.py:557(_set_name)
      121    0.001    0.000    0.039    0.000 cgutils.py:99(__init__)
    52334    0.024    0.000    0.038    0.000 event.py:270(on_end)
     1517    0.002    0.000    0.036    0.000 value.py:220(is_declaration)
       27    0.000    0.000    0.036    0.001 codegen.py:1315(_scan_and_fix_unresolved_refs)
      360    0.000    0.000    0.036    0.000 templates.py:480(apply)
      390    0.001    0.000    0.036    0.000 templates.py:271(_select)
      467    0.000    0.000    0.036    0.000 passmanagers.py:758(run)
      599    0.001    0.000    0.036    0.000 lowering.py:1460(storevar)
       27    0.001    0.000    0.036    0.001 typed_passes.py:616(run_pass)
       25    0.000    0.000    0.036    0.001 callconv.py:122(raise_error)
       27    0.000    0.000    0.036    0.001 typed_passes.py:557(run_pass)
       27    0.000    0.000    0.036    0.001 ir_utils.py:2238(check_and_legalize_ir)
       90    0.000    0.000    0.036    0.000 postproc.py:158(_insert_var_dels)
       90    0.009    0.000    0.035    0.000 postproc.py:179(_patch_var_dels)
      390    0.007    0.000    0.035    0.000 context.py:636(resolve_overload)
      438    0.010    0.000    0.035    0.000 numpy_support.py:357(ufunc_find_matching_loop)
    36882    0.026    0.000    0.035    0.000 pprint.py:102(_safe_tuple)
      256    0.000    0.000    0.035    0.000 typed_passes.py:757(_do_work_expr)
       12    0.000    0.000    0.034    0.003 imputils.py:333(wrapper)
       35    0.000    0.000    0.033    0.001 interpreter.py:1438(post_process)
    12444    0.008    0.000    0.033    0.000 _utils.py:16(register)
      649    0.002    0.000    0.032    0.000 lowering.py:1506(delvar)
      247    0.001    0.000    0.032    0.000 typed_passes.py:700(_get_callable_info)
       52    0.001    0.000    0.031    0.001 codegen.py:1248(_function_pass_manager)
       28    0.000    0.000    0.031    0.001 typed_passes.py:883(run_pass)
   106835    0.022    0.000    0.031    0.000 {method 'get' of 'dict' objects}
       52    0.000    0.000    0.031    0.001 templates.py:954(generic)
      247    0.000    0.000    0.031    0.000 typed_passes.py:702(get_func_type)
  912/867    0.001    0.000    0.030    0.000 base.py:689(cast)
     6190    0.006    0.000    0.030    0.000 errors.py:840(new_error_context)
      746    0.002    0.000    0.030    0.000 lowering.py:1562(decref)
      101    0.000    0.000    0.029    0.000 base.py:261(refresh)
       30    0.000    0.000    0.029    0.001 callwrapper.py:38(cleanup_arg)
       35    0.002    0.000    0.029    0.001 byteflow.py:94(run)
22408/22338    0.013    0.000    0.029    0.000 _utils.py:54(get_reference)
       54    0.001    0.000    0.028    0.001 callconv.py:868(call_function)
        1    0.000    0.000    0.028    0.028 untyped_passes.py:805(inject_loop_body)
26334/14039    0.016    0.000    0.028    0.000 abstract.py:121(__hash__)
     1513    0.010    0.000    0.028    0.000 utils.py:346(order_by_target_specificity)
       12    0.000    0.000    0.028    0.002 functions.py:222(raise_error)
       16    0.000    0.000    0.028    0.002 arrayobj.py:77(_make_refs)
      789    0.007    0.000    0.028    0.000 analysis.py:235(compute_cfg_from_blocks)
    24518    0.010    0.000    0.027    0.000 event.py:100(__init__)
       27    0.000    0.000    0.026    0.001 codegen.py:773(_verify_declare_only_symbols)
    37685    0.011    0.000    0.026    0.000 <frozen abc>:117(__instancecheck__)
       27    0.000    0.000    0.026    0.001 lowering.py:29(__init__)
     5025    0.004    0.000    0.026    0.000 cpu_options.py:16(__repr__)
      284    0.010    0.000    0.026    0.000 analysis.py:118(compute_dead_maps)
      387    0.002    0.000    0.026    0.000 cgutils.py:362(alloca_once)
     2833    0.025    0.000    0.025    0.000 models.py:132(has_nrt_meminfo)
4810/4724    0.003    0.000    0.025    0.000 manager.py:29(lookup)
       53    0.001    0.000    0.025    0.000 codegen.py:684(_get_module_for_linking)
       23    0.000    0.000    0.025    0.001 imputils.py:192(imp)
      197    0.001    0.000    0.025    0.000 base.py:56(_select_compatible)
       68    0.000    0.000    0.025    0.000 errors.py:338(filename)
     2748    0.006    0.000    0.025    0.000 context.py:586(_rate_arguments)
     3330    0.004    0.000    0.025    0.000 ssa.py:207(_run_ssa_block_pass)
       33    0.001    0.000    0.025    0.001 compiler.py:390(__init__)
4317/4311    0.002    0.000    0.024    0.000 manager.py:40(__getitem__)
     3005    0.004    0.000    0.024    0.000 base.py:103(_match_arglist)
        8    0.000    0.000    0.024    0.003 arrayobj.py:347(iternext_array)
