,NAME,PROPNAME,STORY,X,Y,POINT 2X,POINT 2Y,Label,Z Base,Level,ret,Section
624,914,CC_750DIA_N65,L19,22.555,7.5,85.75,22.555,C98,89.2,L19,0,CC_750DIA_N65
625,915,CC_750DIA_N65,L18,22.555,7.5,82.3,22.555,C98,85.75,L18,0,CC_750DIA_N65
626,916,CC_750DIA_N65,L17,22.555,7.5,78.85000000000001,22.555,C98,82.3,L17,0,CC_750DIA_N65
627,917,CC_750DIA_N65,L16,22.555,7.5,75.4,22.555,C98,78.85000000000001,L16,0,CC_750DIA_N65
628,918,CC_750DIA_N65,L15,22.555,7.5,71.95,22.555,C98,75.4,L15,0,CC_750DIA_N65
629,919,CC_750DIA_N65,L14,22.555,7.5,68.5,22.555,C98,71.95,L14,0,CC_750DIA_N65
630,920,CC_750DIA_N65,L13,22.555,7.5,65.05,22.555,C98,68.5,L13,0,CC_750DIA_N65
631,921,CC_750DIA_N65,L12,22.555,7.5,61.6,22.555,C98,65.05,L12,0,CC_750DIA_N65
632,922,CC_750DIA_N65,L11,22.555,7.5,58.15,22.555,C98,61.6,L11,0,CC_750DIA_N65
633,923,CC_750DIA_N65,L10,22.555,7.5,54.7,22.555,C98,58.15,L10,0,CC_750DIA_N65
634,924,CC_750DIA_N65,L9,22.555,7.5,51.25,22.555,C98,54.7,L9,0,CC_750DIA_N65
635,925,CC_750DIA_N65,L8,22.555,7.5,47.800000000000004,22.555,C98,51.25,L8,0,CC_750DIA_N65
636,926,CC_750DIA_N65,L7,22.555,7.5,44.35,22.555,C98,47.800000000000004,L7,0,CC_750DIA_N65
637,927,CC_1000x1000_N65,MEZZ,39.9,7.5,20.05,39.9,C9,23.28,MEZZ,0,CC_1000x1000_N65
638,928,CC_1000x1000_N65,MEZZ,39.9,10.4,20.05,39.9,C117,23.28,MEZZ,0,CC_1000x1000_N65
639,929,CC_1000x1000_N65,GL,39.9,7.5,16.35,39.9,C9,20.05,GL,0,CC_1000x1000_N65
640,930,CC_1000x1000_N65,GL,39.9,10.4,16.35,39.9,C117,20.05,GL,0,CC_1000x1000_N65
641,931,CC_1000x1000_N65,B1,39.9,7.5,13.25,39.9,C9,16.35,B1,0,CC_1000x1000_N65
642,932,CC_1000x1000_N65,B1,39.9,10.4,13.25,39.9,C117,16.35,B1,0,CC_1000x1000_N65
643,28,CC_1000x800_N80,B1,9.4,-7.07,13.25,9.4,C110,16.35,B1,0,CC_1000x800_N80
644,29,CC_1000x800_N80,B1,9.4,0.0,13.25,9.4,C111,16.35,B1,0,CC_1000x800_N80
645,30,CC_1000x800_N80,B1,-10.09,0.0,13.25,-10.09,C122,16.35,B1,0,CC_1000x800_N80
646,139,CC_1000x800_N80,B1,-10.09,-6.2,13.25,-10.09,C123,16.35,B1,0,CC_1000x800_N80
647,723,CC_1000x500_N80,L6,-21.96,5.8,40.9,-21.96,C27,44.35,L6,0,CC_1000x500_N80
648,730,CC_1000x500_N80,L6,-18.02,5.8,40.9,-18.02,C28,44.35,L6,0,CC_1000x500_N80
649,731,CC_1000x500_N80,L35 RT,-21.96,5.8,141.5,-21.96,C27,146.65,L35 RT,0,CC_1000x500_N80
650,732,CC_1000x500_N80,L35 RT,-18.02,5.8,141.5,-18.02,C28,146.65,L35 RT,0,CC_1000x500_N80
651,733,CC_1000x500_N80,L34 RTU,-21.96,5.8,138.8,-21.96,C27,141.5,L34 RTU,0,CC_1000x500_N80
652,734,CC_1000x500_N80,L34 RTU,-18.02,5.8,138.8,-18.02,C28,141.5,L34 RTU,0,CC_1000x500_N80
653,735,CC_1000x500_N80,L33,-21.96,5.8,134.05,-21.96,C27,138.8,L33,0,CC_1000x500_N80
654,736,CC_1000x500_N80,L33,-18.02,5.8,134.05,-18.02,C28,138.8,L33,0,CC_1000x500_N80
655,737,CC_1000x500_N80,L32,-21.96,5.8,130.6,-21.96,C27,134.05,L32,0,CC_1000x500_N80
656,738,CC_1000x500_N80,L32,-18.02,5.8,130.6,-18.02,C28,134.05,L32,0,CC_1000x500_N80
657,739,CC_1000x500_N80,L31,-21.96,5.8,127.15,-21.96,C27,130.6,L31,0,CC_1000x500_N80
658,740,CC_1000x500_N80,L31,-18.02,5.8,127.15,-18.02,C28,130.6,L31,0,CC_1000x500_N80
659,741,CC_1000x500_N80,L30,-21.96,5.8,123.7,-21.96,C27,127.15,L30,0,CC_1000x500_N80
660,742,CC_1000x500_N80,L30,-18.02,5.8,123.7,-18.02,C28,127.15,L30,0,CC_1000x500_N80
661,743,CC_1000x500_N80,L29,-21.96,5.8,120.25,-21.96,C27,123.7,L29,0,CC_1000x500_N80
662,744,CC_1000x500_N80,L29,-18.02,5.8,120.25,-18.02,C28,123.7,L29,0,CC_1000x500_N80
663,745,CC_1000x500_N80,L28,-21.96,5.8,116.8,-21.96,C27,120.25,L28,0,CC_1000x500_N80
664,746,CC_1000x500_N80,L28,-18.02,5.8,116.8,-18.02,C28,120.25,L28,0,CC_1000x500_N80
665,747,CC_1000x500_N80,L27,-21.96,5.8,113.35000000000001,-21.96,C27,116.8,L27,0,CC_1000x500_N80
666,748,CC_1000x500_N80,L27,-18.02,5.8,113.35000000000001,-18.02,C28,116.8,L27,0,CC_1000x500_N80
667,749,CC_1000x500_N80,L26,-21.96,5.8,109.9,-21.96,C27,113.35000000000001,L26,0,CC_1000x500_N80
668,750,CC_1000x500_N80,L26,-18.02,5.8,109.9,-18.02,C28,113.35000000000001,L26,0,CC_1000x500_N80
669,751,CC_1000x500_N80,L25,-21.96,5.8,106.45,-21.96,C27,109.9,L25,0,CC_1000x500_N80
670,752,CC_1000x500_N80,L25,-18.02,5.8,106.45,-18.02,C28,109.9,L25,0,CC_1000x500_N80
671,753,CC_1000x500_N80,L24,-21.96,5.8,103.0,-21.96,C27,106.45,L24,0,CC_1000x500_N80
672,762,CC_1000x500_N80,L24,-18.02,5.8,103.0,-18.02,C28,106.45,L24,0,CC_1000x500_N80
673,763,CC_1000x500_N80,L23,-21.96,5.8,99.55,-21.96,C27,103.0,L23,0,CC_1000x500_N80
674,764,CC_1000x500_N80,L23,-18.02,5.8,99.55,-18.02,C28,103.0,L23,0,CC_1000x500_N80
675,765,CC_1000x500_N80,L22,-21.96,5.8,96.10000000000001,-21.96,C27,99.55,L22,0,CC_1000x500_N80
676,766,CC_1000x500_N80,L22,-18.02,5.8,96.10000000000001,-18.02,C28,99.55,L22,0,CC_1000x500_N80
677,767,CC_1000x500_N80,L21,-21.96,5.8,92.65,-21.96,C27,96.10000000000001,L21,0,CC_1000x500_N80
678,768,CC_1000x500_N80,L21,-18.02,5.8,92.65,-18.02,C28,96.10000000000001,L21,0,CC_1000x500_N80
679,769,CC_1000x500_N80,L20,-21.96,5.8,89.2,-21.96,C27,92.65,L20,0,CC_1000x500_N80
680,770,CC_1000x500_N80,L20,-18.02,5.8,89.2,-18.02,C28,92.65,L20,0,CC_1000x500_N80
681,771,CC_1000x500_N80,L19,-21.96,5.8,85.75,-21.96,C27,89.2,L19,0,CC_1000x500_N80
682,773,CC_1000x500_N80,L19,-18.02,5.8,85.75,-18.02,C28,89.2,L19,0,CC_1000x500_N80
683,774,CC_1000x500_N80,L18,-21.96,5.8,82.3,-21.96,C27,85.75,L18,0,CC_1000x500_N80
684,775,CC_1000x500_N80,L18,-18.02,5.8,82.3,-18.02,C28,85.75,L18,0,CC_1000x500_N80
685,776,CC_1000x500_N80,L17,-21.96,5.8,78.85000000000001,-21.96,C27,82.3,L17,0,CC_1000x500_N80
686,777,CC_1000x500_N80,L17,-18.02,5.8,78.85000000000001,-18.02,C28,82.3,L17,0,CC_1000x500_N80
687,778,CC_1000x500_N80,L16,-21.96,5.8,75.4,-21.96,C27,78.85000000000001,L16,0,CC_1000x500_N80
